                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                0.87422,                0.80735,                 1.2656,                 0.8384,                0.80425,                0.88239,                0.69957,                  0.844,                0.69906,                 1.2801,              0.0006931,              0.0006931,              0.0006931
                     33,                0.87376,                0.79783,                 1.2687,                0.86921,                0.83964,                0.89329,                0.69968,                0.83432,                0.68647,                 1.2799,              0.0006832,              0.0006832,              0.0006832
                     34,                0.87567,                0.79053,                 1.2753,                0.83628,                0.83629,                0.89389,                0.70386,                0.85646,                0.68085,                 1.2862,              0.0006733,              0.0006733,              0.0006733
                     35,                0.86237,                 0.7885,                 1.2637,                0.87015,                0.83322,                0.89549,                0.71126,                 0.8182,                0.65811,                 1.2703,              0.0006634,              0.0006634,              0.0006634
                     36,                0.86117,                0.77823,                 1.2618,                0.84518,                0.82385,                0.88052,                0.69673,                0.81477,                0.70653,                 1.2977,              0.0006535,              0.0006535,              0.0006535
                     37,                 0.8475,                0.76617,                 1.2515,                0.84439,                 0.8611,                0.89385,                0.71442,                0.81876,                0.66169,                 1.2782,              0.0006436,              0.0006436,              0.0006436
                     38,                0.83724,                0.74028,                 1.2465,                  0.879,                0.80588,                0.89188,                0.70931,                 0.8284,                0.68717,                 1.2632,              0.0006337,              0.0006337,              0.0006337
                     39,                0.84532,                0.73162,                 1.2504,                0.82825,                0.85913,                 0.8993,                  0.714,                0.80137,                0.67213,                 1.2576,              0.0006238,              0.0006238,              0.0006238
                     40,                0.83522,                0.72372,                 1.2421,                0.86263,                0.84579,                 0.8976,                 0.7188,                0.80315,                0.63833,                 1.2453,              0.0006139,              0.0006139,              0.0006139
                     41,                0.82611,                0.71392,                 1.2393,                0.86601,                0.83489,                0.91044,                0.72675,                0.81822,                0.64228,                 1.2554,               0.000604,               0.000604,               0.000604
                     42,                 0.8153,                0.70762,                 1.2295,                0.84029,                0.83894,                0.90096,                0.72166,                 0.8043,                0.65678,                 1.2483,              0.0005941,              0.0005941,              0.0005941
                     43,                0.81772,                0.70674,                 1.2293,                0.88129,                0.81707,                  0.893,                 0.7097,                0.81127,                0.67634,                 1.2571,              0.0005842,              0.0005842,              0.0005842
                     44,                0.80864,                0.70153,                 1.2249,                 0.8425,                0.86144,                0.90957,                0.72689,                0.82168,                0.64412,                  1.257,              0.0005743,              0.0005743,              0.0005743
                     45,                0.81187,                 0.6887,                 1.2283,                0.87514,                0.82535,                0.90098,                0.71852,                0.82614,                0.63629,                 1.2631,              0.0005644,              0.0005644,              0.0005644
                     46,                0.80618,                 0.6825,                 1.2268,                0.87113,                0.83251,                    0.9,                0.72171,                 0.8324,                0.65084,                 1.2795,              0.0005545,              0.0005545,              0.0005545
                     47,                0.79766,                0.66608,                 1.2178,                0.89076,                0.82274,                0.88904,                0.71505,                0.82872,                 0.6768,                 1.2706,              0.0005446,              0.0005446,              0.0005446
                     48,                0.80644,                0.66569,                 1.2259,                0.84509,                 0.8516,                0.89606,                0.71553,                0.82801,                0.65775,                 1.2695,              0.0005347,              0.0005347,              0.0005347
                     49,                0.79026,                0.65792,                  1.218,                0.82986,                 0.8661,                0.88874,                0.70927,                0.81922,                0.66067,                 1.2659,              0.0005248,              0.0005248,              0.0005248
                     50,                  0.791,                0.65013,                 1.2084,                0.85669,                0.85481,                0.89797,                0.71647,                0.82316,                0.65496,                 1.2663,              0.0005149,              0.0005149,              0.0005149
                     51,                0.78239,                0.64315,                 1.2069,                0.84898,                0.86468,                0.89961,                0.72054,                0.82384,                 0.6625,                 1.2601,               0.000505,               0.000505,               0.000505
                     52,                0.77743,                0.63695,                 1.2067,                0.87086,                0.85224,                0.89671,                0.71513,                 0.8285,                0.66718,                 1.2698,              0.0004951,              0.0004951,              0.0004951
